category_id,group,hierarchy,co2e_per_dollar,mods
19013003,place,"""Shops"",""Computers and Electronics"",""Cameras""",386,
19014000,place,"""Shops"",""Construction Supplies""",356,
19015000,place,"""Shops"",""Convenience Stores""",884,diet
19016000,place,"""Shops"",""Costumes""",668,
19017000,place,"""Shops"",""Dance and Music""",668,
19018000,place,"""Shops"",""Department Stores""",668,
19019000,digital,"""Shops"",""Digital Purchase""",0,
19020000,place,"""Shops"",""Discount Stores""",884,diet
19021000,place,"""Shops"",""Electrical Equipment""",386,
19022000,place,"""Shops"",""Equipment Rental""",0,
19023000,place,"""Shops"",""Flea Markets""",0,
19024000,place,"""Shops"",""Florists""",0,
19025000,place,"""Shops"",""Food and Beverage Store""",884,diet
19025001,place,"""Shops"",""Food and Beverage Store"",""Specialty""",884,diet
19025002,place,"""Shops"",""Food and Beverage Store"",""Health Food""",884,diet
19025003,place,"""Shops"",""Food and Beverage Store"",""Farmers Markets""",884,diet
19025004,place,"""Shops"",""Food and Beverage Store"",""Beer, Wine and Spirits""",360,
19026000,place,"""Shops"",""Fuel Dealer""",4080,
19027000,place,"""Shops"",""Furniture and Home Decor""",180,
19028000,place,"""Shops"",""Gift and Novelty""",181,
19029000,place,"""Shops"",""Glasses and Optometrist""",1,
19030000,place,"""Shops"",""Hardware Store""",356,
19031000,place,"""Shops"",""Hobby and Collectibles""",181,
19032000,place,"""Shops"",""Industrial Supplies""",669,
19033000,place,"""Shops"",""Jewelry and Watches""",400,
19034000,place,"""Shops"",""Luggage""",465,
19035000,place,"""Shops"",""Marine Supplies""",669,
19036000,place,"""Shops"",""Music, Video and DVD""",157,
19037000,place,"""Shops"",""Musical Instruments""",292,
19038000,place,"""Shops"",""Newsstands""",105,
19039000,place,"""Shops"",""Office Supplies""",460,
19040000,place,"""Shops"",""Outlet""",668,
19040001,place,"""Shops"",""Outlet"",""Women's Store""",668,
19040002,place,"""Shops"",""Outlet"",""Swimwear""",668,
19040003,place,"""Shops"",""Outlet"",""Shoe Store""",668,
19040004,place,"""Shops"",""Outlet"",""Men's Store""",668,
19040005,place,"""Shops"",""Outlet"",""Lingerie Store""",190,
19040006,place,"""Shops"",""Outlet"",""Kids' Store""",668,
19040007,place,"""Shops"",""Outlet"",""Boutique""",668,
19040008,place,"""Shops"",""Outlet"",""Accessories Store""",668,
19041000,place,"""Shops"",""Pawn Shops""",0,
19042000,place,"""Shops"",""Pets""",240,
19043000,place,"""Shops"",""Pharmacies""",240,
19044000,place,"""Shops"",""Photos and Frames""",195,
19045000,place,"""Shops"",""Shopping Centers and Malls""",668,
19046000,place,"""Shops"",""Sporting Goods""",500,
19047000,place,"""Shops"",""Supermarkets and Groceries""",884,diet
19048000,place,"""Shops"",""Tobacco""",286,
19049000,place,"""Shops"",""Toys""",412,
19050000,place,"""Shops"",""Vintage and Thrift""",0,
19051000,place,"""Shops"",""Warehouses and Wholesale Stores""",884,diet
19052000,place,"""Shops"",""Wedding and Bridal""",1,
19053000,place,"""Shops"",""Wholesale""",884,diet
19054000,place,"""Shops"",""Lawn and Garden""",1,
20000000,special,"""Tax""",0,
20001000,special,"""Tax"",""Refund""",0,
20002000,special,"""Tax"",""Payment""",0,
21000000,special,"""Transfer""",0,
21001000,special,"""Transfer"",""Internal Account Transfer""",0,
21002000,special,"""Transfer"",""ACH""",0,
21003000,special,"""Transfer"",""Billpay""",0,
21004000,special,"""Transfer"",""Check""",0,
21005000,special,"""Transfer"",""Credit""",0,
21006000,special,"""Transfer"",""Debit""",0,
21007000,special,"""Transfer"",""Deposit""",0,
21007001,special,"""Transfer"",""Deposit"",""Check""",0,
21007002,special,"""Transfer"",""Deposit"",""ATM""",0,
21008000,special,"""Transfer"",""Keep the Change Savings Program""",0,
21009000,special,"""Transfer"",""Payroll""",0,
21009001,special,"""Transfer"",""Payroll"",""Benefits""",0,
21010000,special,"""Transfer"",""Third Party""",0,
21010001,special,"""Transfer"",""Third Party"",""Venmo""",0,
21010002,special,"""Transfer"",""Third Party"",""Square Cash""",0,
21010003,special,"""Transfer"",""Third Party"",""Square""",0,
21010004,special,"""Transfer"",""Third Party"",""PayPal""",0,
21010005,special,"""Transfer"",""Third Party"",""Dwolla""",0,
21010006,special,"""Transfer"",""Third Party"",""Coinbase""",0,
21010007,special,"""Transfer"",""Third Party"",""Chase QuickPay""",0,
21010008,special,"""Transfer"",""Third Party"",""Acorns""",0,
21010009,special,"""Transfer"",""Third Party"",""Digit""",0,
21010010,special,"""Transfer"",""Third Party"",""Betterment""",0,
21010011,special,"""Transfer"",""Third Party"",""Plaid""",0,
21011000,special,"""Transfer"",""Wire""",0,
21012000,special,"""Transfer"",""Withdrawal""",0,
21012001,special,"""Transfer"",""Withdrawal"",""Check""",0,
21012002,special,"""Transfer"",""Withdrawal"",""ATM""",0,
21013000,special,"""Transfer"",""Save As You Go""",0,
22000000,place,"""Travel""",453,
22001000,special,"""Travel"",""Airlines and Aviation Services""",1283,
22002000,place,"""Travel"",""Airports""",1,
22003000,place,"""Travel"",""Boat""",1,
22004000,place,"""Travel"",""Bus Stations""",660,
22005000,place,"""Travel"",""Car and Truck Rentals""",1,
22006000,place,"""Travel"",""Car Service""",206,
22006001,special,"""Travel"",""Car Service"",""Ride Share""",206,
22007000,place,"""Travel"",""Charter Buses""",660,
22008000,special,"""Travel"",""Cruises""",553,
22009000,place,"""Travel"",""Gas Stations""",4080,
22010000,place,"""Travel"",""Heliports""",491,
22011000,place,"""Travel"",""Limos and Chauffeurs""",190,
22012000,place,"""Travel"",""Lodging""",173,
22012001,place,"""Travel"",""Lodging"",""Resorts""",173,
22012002,place,"""Travel"",""Lodging"",""Lodges and Vacation Rentals""",173,
22012003,place,"""Travel"",""Lodging"",""Hotels and Motels""",173,
22012004,place,"""Travel"",""Lodging"",""Hostels""",173,
22012005,place,"""Travel"",""Lodging"",""Cottages and Cabins""",173,
22012006,place,"""Travel"",""Lodging"",""Bed and Breakfasts""",173,
22013000,place,"""Travel"",""Parking""",0,
22014000,place,"""Travel"",""Public Transportation Services""",529,
22015000,place,"""Travel"",""Rail""",193,
22016000,special,"""Travel"",""Taxi""",152,
22017000,special,"""Travel"",""Tolls and Fees""",0,
22018000,place,"""Travel"",""Transportation Centers""",1,
